"","PitchNo","Date","Time","PAofInning","PitchofPA","Pitcher","PitcherId","PitcherThrows","PitcherTeam","Batter","BatterId","BatterSide","BatterTeam","PitcherSet","Inning","Top.Bottom","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchCall","KorBB","TaggedHitType","PlayResult","OutsOnPlay","RunsScored","Notes","RelSpeed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","HomeTeam","AwayTeam","Stadium","Level","League","GameID","PitchUID","EffectiveVelo","MaxHeight","MeasuredDuration","SpeedDrop","PitchLastMeasuredX","PitchLastMeasuredY","PitchLastMeasuredZ","ContactPositionX","ContactPositionY","ContactPositionZ","GameUID","UTCDate","UTCTime","LocalDateTime","UTCDateTime","AutoHitType","System","HomeTeamForeignID","AwayTeamForeignID","GameForeignID","Catcher","CatcherId","CatcherThrows","CatcherTeam","PlayID","PitchTrajectoryXc0","PitchTrajectoryXc1","PitchTrajectoryXc2","PitchTrajectoryYc0","PitchTrajectoryYc1","PitchTrajectoryYc2","PitchTrajectoryZc0","PitchTrajectoryZc1","PitchTrajectoryZc2","HitSpinAxis","HitTrajectoryXc0","HitTrajectoryXc1","HitTrajectoryXc2","HitTrajectoryXc3","HitTrajectoryXc4","HitTrajectoryXc5","HitTrajectoryXc6","HitTrajectoryXc7","HitTrajectoryXc8","HitTrajectoryYc0","HitTrajectoryYc1","HitTrajectoryYc2","HitTrajectoryYc3","HitTrajectoryYc4","HitTrajectoryYc5","HitTrajectoryYc6","HitTrajectoryYc7","HitTrajectoryYc8","HitTrajectoryZc0","HitTrajectoryZc1","HitTrajectoryZc2","HitTrajectoryZc3","HitTrajectoryZc4","HitTrajectoryZc5","HitTrajectoryZc6","HitTrajectoryZc7","HitTrajectoryZc8","ThrowSpeed","PopTime","ExchangeTime","TimeToBase","CatchPositionX","CatchPositionY","CatchPositionZ","ThrowPositionX","ThrowPositionY","ThrowPositionZ","BasePositionX","BasePositionY","BasePositionZ","ThrowTrajectoryXc0","ThrowTrajectoryXc1","ThrowTrajectoryXc2","ThrowTrajectoryYc0","ThrowTrajectoryYc1","ThrowTrajectoryYc2","ThrowTrajectoryZc0","ThrowTrajectoryZc1","ThrowTrajectoryZc2","PitchReleaseConfidence","PitchLocationConfidence","PitchMovementConfidence","HitLaunchConfidence","HitLandingConfidence","CatcherThrowCatchConfidence","CatcherThrowReleaseConfidence","CatcherThrowLocationConfidence","DetectedShift","X1B_PositionAtReleaseX","X1B_PositionAtReleaseZ","X2B_PositionAtReleaseX","X2B_PositionAtReleaseZ","X3B_PositionAtReleaseX","X3B_PositionAtReleaseZ","SS_PositionAtReleaseX","SS_PositionAtReleaseZ","LF_PositionAtReleaseX","LF_PositionAtReleaseZ","CF_PositionAtReleaseX","CF_PositionAtReleaseZ","RF_PositionAtReleaseX","RF_PositionAtReleaseZ","X1B_Name","X1B_Id","X2B_Name","X2B_Id","X3B_Name","X3B_Id","SS_Name","SS_Id","LF_Name","LF_Id","CF_Name","CF_Id","RF_Name","RF_Id","FHC","Counter_1","date_str","game_date","formatted_date","GameNumber","Games","Tilt_1","Tilt_2","Count","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_L1","Zone_L2","Zone_L3","Zone_L4","Zone_Name","AB","SLG_VAL","Out_Zone_NotSwinging","In_Zone_NotSwinging","Out_Zone_Swinging","In_Zone_Swinging","Strike_Awarded","SacrificeFly","hc_x","hc_y","location_x","location_y","season","strikeZone"
"75",75,"2024-04-27","12:42:52.94",4,3,"Tarantino, Nick",1000181535,"Left","MIL_COL","Prather, Ben",1000190341,"Right","CEN_COL","Undefined",3,"Bottom",2,1,1,"ChangeUp","Changeup","StrikeSwinging","Undefined","Undefined","Undefined",0,0,NA,77.47405,-1.162649,2.772002,1706.339447,102.034753,5.67006,-2.42975,6.04588,-42.02065,4.45544,-13.78123,1.09059,-1.00996,71.11558,-8.921963,0.288901,0.490666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.94056,3.06669,2.22132,50,5.55682,-4.9567,-112.44834,-3.53074,10.12158,21.24308,-28.26504,"CEN_COL","MIL_COL","GaryWright","D3","Team","20240427-GaryWright-1","314bfd30-04b5-11ef-a487-bb1091214b2a",76.81887,NA,NA,6.35846,NA,NA,NA,NA,NA,NA,"127ad410-ff02-4c4e-b23e-54d5384c1758","2024-04-27","16:42:52.94","2024-04-27T12:42:52.9482922-04:00","2024-04-27T16:42:52.9482922Z","","v3",NA,NA,NA,"Scott, Evan",1000328911,"Right","MIL_COL","e9bd7671-5255-45e4-b301-26e263d58f94",54.4523,-113.28632,10.62154,5.6741,-2.41576,-14.13252,2.42472,-5.35596,5.06079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",101.81999,79.09241,144.58797,22.26927,82.91416,-64.287,131.10159,-47.62281,268.74414,-143.45469,331.25118,-1.27418,255.19114,144.28655,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",44,"20240427",2024-04-27,"04-27-24","1","MIL_COL vs CEN_COL on 04-27-24 , Game 1",9,30,"1-1",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,0,0,1,0,1,0,NA,NA,NA,NA,"spring24","out"
"76",76,"2024-04-27","12:43:21.12",4,4,"Tarantino, Nick",1000181535,"Left","MIL_COL","Prather, Ben",1000190341,"Right","CEN_COL","Undefined",3,"Bottom",2,1,2,"ChangeUp","Changeup","InPlay","Undefined","GroundBall","Out",1,0,NA,78.12517,-0.868713,2.603398,1711.030067,106.385328,5.66817,-2.37782,6.03687,-40.63975,5.58713,-13.31131,1.47628,-1.0749,70.835,-8.418585,0.20597,0.489349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.77725,3.59059,2.18209,50,5.5784,-4.67689,-113.29297,-2.91871,9.93692,23.96855,-27.58636,"CEN_COL","MIL_COL","GaryWright","D3","Team","20240427-GaryWright-1","421a3460-04b5-11ef-a487-bb1091214b2a",77.02569,NA,NA,7.29017,NA,NA,NA,NA,NA,NA,"127ad410-ff02-4c4e-b23e-54d5384c1758","2024-04-27","16:43:21.12","2024-04-27T12:43:21.1257002-04:00","2024-04-27T16:43:21.1257002Z","","v3",NA,NA,NA,"Scott, Evan",1000328911,"Right","MIL_COL","7d2d4564-d7d4-4c3a-837d-ad18f0555573",54.46054,-114.23276,11.98427,5.67163,-1.83707,-13.79318,2.37311,-5.06651,4.96846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",103.19562,80.16803,140.89864,19.56004,85.62823,-65.43415,131.85295,-48.38983,273.82542,-143.81011,332.2148,-0.7657,255.68557,146.52332,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",45,"20240427",2024-04-27,"04-27-24","1","MIL_COL vs CEN_COL on 04-27-24 , Game 1",9,30,"1-2",0,0,0,0,0,0,0,0,0,0,0,1,0,"L3",1,0,0,0,1,0,1,0,NA,NA,NA,NA,"spring24","buffer"
"77",77,"2024-04-27","12:45:42.74",1,1,"Morgan, Luc",1000126728,"Right","CEN_COL","Page, Case",1000229843,"Right","MIL_COL","Undefined",4,"Top",0,0,0,"Fastball","Changeup","InPlay","Undefined","GroundBall","Double",0,0,NA,85.2497,-0.367276,-3.304928,1927.269262,242.183091,5.04319,2.10432,5.6756,-28.71612,10.80394,17.66757,2.30722,0.49226,76.57491,-5.740193,-0.151012,0.45246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.07941,6.02276,-1.83689,50,4.99445,6.3857,-123.41662,-1.73205,-15.25317,28.87954,-23.05984,"CEN_COL","MIL_COL","GaryWright","D3","Team","20240427-GaryWright-1","96836580-04b5-11ef-a487-bb1091214b2a",83.30557,NA,NA,8.67479,NA,NA,NA,NA,NA,NA,"127ad410-ff02-4c4e-b23e-54d5384c1758","2024-04-27","16:45:42.74","2024-04-27T12:45:42.7422890-04:00","2024-04-27T16:45:42.7422890Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","ca7f8d6b-f778-4bc1-a068-fff10dd00639",54.81986,-124.53937,14.43977,5.04436,-0.83556,-11.52992,-2.09667,6.97869,-7.62659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",98.09364,71.55205,157.7942,43.84663,92.57054,-70.72826,148.69599,-46.26565,283.92124,-141.8534,359.25368,-15.93025,280.33501,155.4422,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",30,"20240427",2024-04-27,"04-27-24","1","MIL_COL vs CEN_COL on 04-27-24 , Game 1",2,0,"0-0",0,0,0,0,0,1,0,0,0,0,0,0,0,"6",1,2,0,0,0,1,1,0,NA,NA,NA,NA,"spring24","in"
"78",78,"2024-04-27","12:46:57.60",2,1,"Morgan, Luc",1000126728,"Right","CEN_COL","Morgan, Mason",1000229788,"Right","MIL_COL","Undefined",4,"Top",0,0,0,"Slider","Curveball","BallCalled","Undefined","Undefined","Undefined",0,0,NA,76.45138,1.12346,-4.098233,2069.37164,58.536937,4.90488,2.30895,5.48697,-52.69708,-3.01457,-7.87563,1.56731,-2.18788,69.16485,-8.501707,-5.495065,0.50731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55406,-1.29347,-1.94407,50,4.96851,8.22665,-110.51027,0.43159,3.09479,23.39674,-33.74134,"CEN_COL","MIL_COL","GaryWright","D3","Team","20240427-GaryWright-1","c322bc80-04b5-11ef-a487-bb1091214b2a",74.29868,NA,NA,7.28653,NA,NA,NA,NA,NA,NA,"127ad410-ff02-4c4e-b23e-54d5384c1758","2024-04-27","16:46:57.60","2024-04-27T12:46:57.6081066-04:00","2024-04-27T16:46:57.6081066Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","b57684a9-224b-4a7a-a896-db7e7801e205",55.0078,-111.56546,11.69837,4.91473,1.95332,-16.87067,-2.31195,8.08707,1.5474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",69.07533,47.46429,132.91886,21.29849,73.04565,-55.741,142.83347,-48.15417,287.4167,-146.59369,352.8658,-15.52023,277.06377,154.81921,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",31,"20240427",2024-04-27,"04-27-24","1","MIL_COL vs CEN_COL on 04-27-24 , Game 1",8,0,"0-0",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,1,0,0,0,0,0,NA,NA,NA,NA,"spring24","out"
"79",79,"2024-04-27","12:47:17.89",2,2,"Morgan, Luc",1000126728,"Right","CEN_COL","Morgan, Mason",1000229788,"Right","MIL_COL","Undefined",4,"Top",0,1,0,"Fastball","Changeup","FoulBallNotFieldable","Undefined","Undefined","Undefined",0,0,NA,84.20014,-0.792934,-3.726743,1843.062668,230.510372,5.01642,2.34741,5.64141,-24.55639,16.09084,17.64466,2.22877,0.3365,75.49429,-5.431778,-0.582024,0.458867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.10548,8.8454,-2.04181,50,4.93374,7.17858,-121.77672,-2.43923,-14.88797,28.13067,-19.14252,"CEN_COL","MIL_COL","GaryWright","D3","Team","20240427-GaryWright-1","cf33b9c0-04b5-11ef-a487-bb1091214b2a",82.1424,NA,NA,8.70585,NA,NA,NA,NA,NA,NA,"127ad410-ff02-4c4e-b23e-54d5384c1758","2024-04-27","16:47:17.89","2024-04-27T12:47:17.8951850-04:00","2024-04-27T16:47:17.8951850Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","c9281174-1861-40a8-806e-d9eaa3b4d1fa",54.85175,-122.89238,14.06534,5.01543,-1.68004,-9.57126,-2.33823,7.76904,-7.44399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",70.72627,50.60443,140.70072,35.92455,72.40699,-54.42662,143.19073,-47.18773,285.374,-144.57026,351.75822,-14.85643,269.3393,150.36792,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",32,"20240427",2024-04-27,"04-27-24","1","MIL_COL vs CEN_COL on 04-27-24 , Game 1",1,45,"1-0",0,0,0,0,0,1,0,0,0,0,0,0,0,"6",0,0,0,0,0,0,0,0,NA,NA,NA,NA,"spring24","in"
"80",80,"2024-04-27","12:47:39.48",2,3,"Morgan, Luc",1000126728,"Right","CEN_COL","Morgan, Mason",1000229788,"Right","MIL_COL","Undefined",4,"Top",0,1,1,"Fastball","Changeup","FoulBallNotFieldable","Undefined","Undefined","Undefined",0,0,NA,85.78983,0.346028,-4.485824,1971.384323,224.35859,5.03029,2.21816,5.51864,-22.03485,17.06343,15.32607,3.51857,-0.70736,77.30972,-3.813207,-1.766598,0.450039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.03052,8.87658,-1.83719,50,5.04611,9.05456,-124.03492,0.06725,-13.92331,27.19513,-18.48809,"CEN_COL","MIL_COL","GaryWright","D3","Team","20240427-GaryWright-1","dc11f210-04b5-11ef-a487-bb1091214b2a",83.75369,NA,NA,8.48011,NA,NA,NA,NA,NA,NA,"127ad410-ff02-4c4e-b23e-54d5384c1758","2024-04-27","16:47:39.48","2024-04-27T12:47:39.4832042-04:00","2024-04-27T16:47:39.4832042Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","582c2f42-0160-4083-97c6-0d621b72b3c2",54.97488,-125.12093,13.59757,5.02868,0.80555,-9.24405,-2.20988,9.61057,-6.96166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",82.11418,58.51911,149.31224,22.07824,72.296,-53.83043,145.52475,-48.2045,284.98402,-146.40929,356.79029,-14.34842,270.59236,150.94959,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",33,"20240427",2024-04-27,"04-27-24","1","MIL_COL vs CEN_COL on 04-27-24 , Game 1",1,30,"1-1",1,0,0,0,0,0,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,NA,NA,NA,NA,"spring24","in"
"81",81,"2024-04-27","12:47:59.11",2,4,"Morgan, Luc",1000126728,"Right","CEN_COL","Morgan, Mason",1000229788,"Right","MIL_COL","Undefined",4,"Top",0,1,2,"Fastball","Changeup","InPlay","Undefined","FlyBall","Out",1,0,NA,84.31143,-0.830204,-4.291529,1856.138658,229.243529,4.98804,2.26972,5.61031,-23.14663,17.25076,18.30485,2.28204,-0.21795,75.97384,-5.201248,-1.034835,0.457455,92.6689,42.587644,-15.299372,4555.678637,105.52215,95.03549,-31.06434,332.25517,332.25517,-20.181935,5.838206,-10.63426,9.41678,-1.91464,50,4.90239,8.38792,-121.95328,-2.47646,-15.80276,26.95292,-18.18046,"CEN_COL","MIL_COL","GaryWright","D3","Team","20240427-GaryWright-1","e7c0d220-04b5-11ef-a487-bb1091214b2a",82.39602,122.6496,NA,8.3376,NA,NA,NA,1.47651,2.42591,0.19123,"127ad410-ff02-4c4e-b23e-54d5384c1758","2024-04-27","16:47:59.11","2024-04-27T12:47:59.1161514-04:00","2024-04-27T16:47:59.1161514Z","FlyBall","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","decfeeeb-0217-4f2d-9551-0e4d984135bc",54.88545,-123.02827,13.47646,4.9867,-1.75135,-9.09023,-2.26176,9.0182,-7.90138,174.948411,1.48062,96.42842,-22.83528,6.07953,-1.02135,0.06508,0.01066,-0.00224,0.00011,2.4164,92.14216,-20.47636,1.55928,-0.35764,0.09419,-0.01427,0.00095,-2e-05,0.19135,-26.40162,4.70932,-1.65756,0.40493,-0.06855,0.007,-0.00035,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","Medium","","","","NoShift",93.93624,67.26392,149.47733,19.07676,77.11107,-56.86972,147.2092,-50.44143,284.43136,-146.48056,351.66443,-12.68933,267.19013,149.81368,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",34,"20240427",2024-04-27,"04-27-24","1","MIL_COL vs CEN_COL on 04-27-24 , Game 1",1,45,"1-2",0,0,0,0,1,0,0,0,0,0,0,0,0,"5",1,0,0,0,0,1,1,0,-114.628791482588,311.855316060141,-600.121978706469,-283.963290150352,"spring24","in"
"82",82,"2024-04-27","12:48:38.69",3,1,"Morgan, Luc",1000126728,"Right","CEN_COL","Ware, Jackson",1000229842,"Right","MIL_COL","Undefined",4,"Top",1,0,0,"Fastball","Sinker","FoulBallNotFieldable","Undefined","Undefined","Undefined",0,0,NA,85.84354,-0.751544,-3.588694,2021.589186,229.461857,5.01513,2.20266,5.61484,-23.02068,15.51241,16.63922,2.39391,0.23559,78.11215,-5.068394,-0.624267,0.446775,72.17178,10.170029,162.005853,NA,NA,NA,NA,NA,30.37657,NA,NA,-9.45028,8.45048,-1.90693,50,4.93624,7.09715,-124.39664,-2.36651,-14.7596,25.71782,-18.97594,"CEN_COL","MIL_COL","GaryWright","D3","Team","20240427-GaryWright-1","ff5ecf90-04b5-11ef-a487-bb1091214b2a",84.36568,7.20447,NA,7.73139,NA,NA,NA,0.72252,2.18038,-0.32561,"127ad410-ff02-4c4e-b23e-54d5384c1758","2024-04-27","16:48:38.69","2024-04-27T12:48:38.6917546-04:00","2024-04-27T16:48:38.6917546Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","a4ff76f8-19e7-4d3e-810b-f39730fffb97",54.8817,-125.40183,12.85891,5.01425,-1.62483,-9.48797,-2.19559,7.67403,-7.3798,NA,0.71755,-98.88647,15.83656,NA,NA,NA,NA,NA,NA,2.17845,18.77228,-9.53895,NA,NA,NA,NA,NA,NA,-0.31588,31.77735,-17.68515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","Medium","Low","","","","NoShift",97.22939,72.86926,151.90353,32.17172,77.44453,-57.63194,146.15921,-48.85744,289.91686,-151.10517,355.24055,-14.20508,273.12672,153.37585,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",35,"20240427",2024-04-27,"04-27-24","1","MIL_COL vs CEN_COL on 04-27-24 , Game 1",1,45,"0-0",0,0,0,0,1,0,0,0,0,0,0,0,0,"5",0,0,0,0,0,0,0,0,NA,NA,NA,NA,"spring24","in"
"83",83,"2024-04-27","12:48:59.12",3,2,"Morgan, Luc",1000126728,"Right","CEN_COL","Ware, Jackson",1000229842,"Right","MIL_COL","Undefined",4,"Top",1,0,1,"Curveball","Curveball","InPlay","Undefined","FlyBall","Out",1,0,NA,72.37553,2.104568,-1.088195,1918.022733,60.596015,5.2789,1.88607,5.42955,-59.63625,-3.72992,-10.56178,2.28143,-0.01332,64.78539,-8.842213,-2.968485,0.538148,81.24016,53.862287,-18.47073,NA,103.79307,116.57062,-36.42788,252.97266,252.97266,-20.525386,5.507289,4.91516,-2.05878,-1.78201,50,5.42444,2.37882,-104.71828,1.9867,5.28685,22.84219,-34.38854,"CEN_COL","MIL_COL","GaryWright","D3","Team","20240427-GaryWright-1","0b8fd7f0-04b6-11ef-a487-bb1091214b2a",70.041,122.69214,NA,7.59014,NA,NA,NA,1.95515,2.5857,-0.03713,"127ad410-ff02-4c4e-b23e-54d5384c1758","2024-04-27","16:48:59.12","2024-04-27T12:48:59.1239338-04:00","2024-04-27T16:48:59.1239338Z","FlyBall","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","66a6a590-4565-41f8-95de-b48cbfd0d42a",55.06589,-105.81753,11.4211,5.28902,3.64161,-17.19427,-1.89037,2.1244,2.64343,176.596533,1.95706,66.59495,-14.26111,4.06414,-0.62062,-0.00157,0.0199,-0.00317,0.00015,2.57791,96.36778,-23.43632,2.61644,-0.66964,0.15166,-0.02126,0.00137,-4e-05,-0.03713,-22.25781,3.97835,-1.26649,0.25118,-0.02612,-0.00038,0.00036,-2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","Medium","","","","NoShift",99.06147,74.95341,148.25703,16.96878,77.79848,-58.0713,145.56688,-50.7933,285.13546,-147.13112,361.65605,-14.88309,267.6805,154.60396,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",36,"20240427",2024-04-27,"04-27-24","1","MIL_COL vs CEN_COL on 04-27-24 , Game 1",8,0,"0-1",0,0,0,0,1,0,0,0,0,0,0,0,0,"5",1,0,0,0,0,1,1,0,-88.6978704442281,236.913179215793,-535.29467611057,-96.6079480394828,"spring24","in"
"84",84,"2024-04-27","12:49:38.86",4,1,"Morgan, Luc",1000126728,"Right","CEN_COL","Ousley, EJ",1000229789,"Right","MIL_COL","Undefined",4,"Top",2,0,0,"Fastball","Changeup","BallCalled","Undefined","Undefined","Undefined",0,0,NA,85.13289,-0.774811,-5.689733,1789.210829,228.498533,5.01175,2.19981,5.66898,-23.13092,16.17371,16.78458,2.35817,-1.72376,77.38243,-5.115014,-2.711272,0.451225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.05839,8.8026,-1.72845,50,4.93159,11.5405,-122.99935,-2.38648,-15.37726,24.86535,-18.71666,"CEN_COL","MIL_COL","GaryWright","D3","Team","20240427-GaryWright-1","2334b330-04b6-11ef-a487-bb1091214b2a",83.53356,NA,NA,7.75046,NA,NA,NA,NA,NA,NA,"127ad410-ff02-4c4e-b23e-54d5384c1758","2024-04-27","16:49:38.86","2024-04-27T12:49:38.8615338-04:00","2024-04-27T16:49:38.8615338Z","","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","1521ff3d-1f60-4eda-8ff8-f563d729171a",54.82637,-123.9712,12.43268,5.01057,-1.65495,-9.35833,-2.19125,12.14151,-7.68863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","","","","","","NoShift",98.29068,73.05456,155.70722,15.03069,81.3814,-61.26572,151.06993,-51.78848,289.56573,-148.51821,345.9864,-16.86342,268.77233,150.23279,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",37,"20240427",2024-04-27,"04-27-24","1","MIL_COL vs CEN_COL on 04-27-24 , Game 1",1,30,"0-0",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,1,0,0,0,0,0,NA,NA,NA,NA,"spring24","out"
"85",85,"2024-04-27","12:49:59.46",4,2,"Morgan, Luc",1000126728,"Right","CEN_COL","Ousley, EJ",1000229789,"Right","MIL_COL","Undefined",4,"Top",2,1,0,"Slider","Curveball","InPlay","Undefined","GroundBall","Error",0,0,NA,77.41638,2.119839,-2.211008,2047.10661,42.415714,4.88247,2.21133,5.33146,-54.28156,-6.3854,-7.23689,2.35031,-0.46721,70.80808,-7.746851,-3.495187,0.498106,76.33349,-73.50723,-12.090652,NA,NA,NA,NA,1.7791,1.7791,11.182323,0.021401,2.98957,-3.40756,-2.00613,50,5.03474,4.61597,-112.24624,2.30042,3.79261,21.38614,-36.49693,"CEN_COL","MIL_COL","GaryWright","D3","Team","20240427-GaryWright-1","2f7f8520-04b6-11ef-a487-bb1091214b2a",75.67153,2.30398,NA,6.6083,NA,NA,NA,1.0783,2.30398,0.48791,"127ad410-ff02-4c4e-b23e-54d5384c1758","2024-04-27","16:49:59.46","2024-04-27T12:49:59.4619562-04:00","2024-04-27T16:49:59.4619562Z","GroundBall","v3",NA,NA,NA,"Weyler, Evan",1000190342,"Right","CEN_COL","0d4ceaa3-7757-417c-a88f-8f657f76899c",55.16771,-113.22656,10.69307,4.89095,3.9734,-18.24847,-2.21374,4.44212,1.89631,NA,1.07799,31.16776,NA,NA,NA,NA,NA,NA,NA,2.30505,-107.65749,NA,NA,NA,NA,NA,NA,NA,0.48797,-6.67647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","Estimated","Estimated","","","","NoShift",96.35026,72.45033,142.60985,9.95865,83.83181,-63.31535,149.2262,-53.15436,287.68592,-147.31838,359.03669,-16.84409,259.46436,149.02743,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"true",38,"20240427",2024-04-27,"04-27-24","1","MIL_COL vs CEN_COL on 04-27-24 , Game 1",7,30,"1-0",0,0,0,1,0,0,0,0,0,0,0,0,0,"4",1,0,0,0,0,1,1,0,22.2052247521477,112.326451954835,-258.036938119631,214.858870112913,"spring24","in"
